tweet_user_x,tweet_id,tweet_url,tweet_text,Number_of_panels,type_of_image,scale,type_of_subject,attributes_of_subject,contains_words,face_posture_emotion,narrative_old,narrative,emotional_appeal,intent,actor,Notes,Labeler,overlap,date,retweet_count,favorite_count,followers_int,tweet_user_y,Number_of_panels_b,type_of_image_ar,type_of_image_illustration,type_of_image_screenshot,scale_ar,scale_other,scale_closeup,scale_long,type_of_subject_ar,type_of_subject_text,type_of_subject_object,type_of_subject_scene,type_of_subject_creature,type_of_subject_other,attributes_of_subject_ar,attributes_of_subject_posture,attributes_of_subject_na,attributes_of_subject_poster,attributes_of_subject_scene,contains_words_ar,contains_words_no,face_posture_emotion_ar,face_posture_emotion_neutral,face_posture_emotion_positive,face_posture_emotion_negative,narrative_ar,narrative_hero,narrative_fool,narrative_villain,narrative_victim,narrative_other,emotional_appeal_ar,emotional_appeal_pride,emotional_appeal_humor,emotional_appeal_outrage,emotional_appeal_compassion,emotional_appeal_fear,emotional_appeal_encouragement,emotional_appeal_sadness,emotional_appeal_gratitude,emotional_appeal_hope,emotional_appeal_thankfulness,intent_ar,intent_info,intent_call_to_action,actor_ar,actor_ukr_military,actor_rus_military,actor_ukr_civilians,actor_russia,actor_putin,actor_ukraine,actor_zelensky,actor_west,tweet_user_DefenceU,tweet_user_uamemesforces,tweet_user_OFFICIAL,sample_weight,tweet_user_Ukraine,day,days_from_start,followers_log,np.log2(followers_int + 1),actor_simplified
DefenceU,1519234789991235584,https://twitter.com/DefenceU/status/1519234789991235584,"Втрати ворога в інфографіці 👇
@armyinformcomua",single,illustration,other,text,poster,yes,na,"hero, villain","hero, villain",pride,info,"ukr military, russia",,Yelena,,2022-04-27 08:39:34+00:00,521,2651,1005768.4173885976,DefenceU,0,['illustration'],1,0,['other'],1,0,0,['text'],1,0,0,0,0,['poster'],0,0,1,0,['yes'],0,['na'],0,0,0,"['hero', 'villain']",1,0,1,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['info'],1,0,"['ukr military', 'russia']",1,0,0,1,0,0,0,False,1,0,1,0.6384384384384384,0,2022-04-27,63.0,19.939868160233104,19.939868160233104,Ukr milit.
uamemesforces,1498297519524257802,https://twitter.com/uamemesforces/status/1498297519524257802,https://t.co/6JlRrUKLbg,single,photo,closeup,character,posture,yes,neutral,fool,fool,humor,other,rus military,,Arthur,,2022-02-28 14:02:20+00:00,8,182,147.0,uamemesforces,0,['photo'],0,0,['closeup'],0,1,0,['character'],0,0,0,0,0,['posture'],1,0,0,0,['yes'],0,['neutral'],1,0,0,['fool'],0,1,0,0,0,['humor'],0,1,0,0,0,0,0,0,0,0,['other'],0,0,['rus military'],0,1,0,0,0,0,0,False,0,1,0,0.775346462436178,0,2022-02-28,5.0,7.20945336562895,7.20945336562895,Rus milit.
uamemesforces,1509911764577792001,https://twitter.com/uamemesforces/status/1509911764577792001,https://t.co/SQxzP9dO22,single,illustration,closeup,character,facial expression,yes,neutral,fool,fool,humor,other,rus military,,Yelena,,2022-04-01 15:13:12+00:00,193,2411,112347.38425796064,uamemesforces,0,['illustration'],1,0,['closeup'],0,1,0,['character'],0,0,0,0,0,['facial expression'],0,0,0,0,['yes'],0,['neutral'],1,0,0,['fool'],0,1,0,0,0,['humor'],0,1,0,0,0,0,0,0,0,0,['other'],0,0,['rus military'],0,1,0,0,0,0,0,False,0,1,0,0.775346462436178,0,2022-04-01,37.0,16.777619850936926,16.777619850936926,Rus milit.
uamemesforces,1502035930898644993,https://twitter.com/uamemesforces/status/1502035930898644993,https://t.co/ymjwJBZUSQ,single,photo,medium,character,posture,yes,positive,hero,hero,humor,other,ukr supporters,,Yelena,,2022-03-10 21:37:27+00:00,90,1013,35015.65721731207,uamemesforces,0,['photo'],0,0,['medium'],0,0,0,['character'],0,0,0,0,0,['posture'],1,0,0,0,['yes'],0,['positive'],0,1,0,['hero'],1,0,0,0,0,['humor'],0,1,0,0,0,0,0,0,0,0,['other'],0,0,['ukr supporters'],0,0,0,0,0,0,0,False,0,1,0,0.775346462436178,0,2022-03-10,15.0,15.095753746410892,15.095753746410892,none
DefenceU,1512653439943290880,https://twitter.com/DefenceU/status/1512653439943290880,❗️Оперативна інформація станом на 06.00 09.04.2022 щодо російського вторгнення ➡️ https://t.co/wtDDntvGKu,single,illustration,other,text,poster,yes,na,"hero, villain","hero, villain",pride,info,"ukr military, russia",,Yelena,,2022-04-09 04:47:38+00:00,54,292,921366.41754386,DefenceU,0,['illustration'],1,0,['other'],1,0,0,['text'],1,0,0,0,0,['poster'],0,0,1,0,['yes'],0,['na'],0,0,0,"['hero', 'villain']",1,0,1,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['info'],1,0,"['ukr military', 'russia']",1,0,0,1,0,0,0,False,1,0,1,0.6384384384384384,0,2022-04-09,45.0,19.813417055036812,19.813417055036812,Ukr milit.
DefenceU,1510548954118868997,https://twitter.com/DefenceU/status/1510548954118868997,Втрати ворога в інфографіці 👇,single,illustration,other,text,poster,yes,na,"hero, fool","fool, hero",pride,info,"rus military, ukr military",,Yelena,,2022-04-03 09:25:09+00:00,392,2154,880107.5563909793,DefenceU,0,['illustration'],1,0,['other'],1,0,0,['text'],1,0,0,0,0,['poster'],0,0,1,0,['yes'],0,['na'],0,0,0,"['fool', 'hero']",1,1,0,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['info'],1,0,"['rus military', 'ukr military']",1,1,0,0,0,0,0,False,1,0,1,0.6384384384384384,0,2022-04-03,39.0,19.747321957400175,19.747321957400175,Ukr milit.
DefenceU,1537752485162586115,https://twitter.com/DefenceU/status/1537752485162586115,"Residents of the occupied Mariupol wash clothes in funnels created by russian bombs and shells. The russian barbarians are pulling our citizens back to the Middle Ages, closer to 🇷🇺 natural primitive standards of living. #stoprussia
Photo by Mariupol City Council",single,photo,medium,character,posture,no,neutral,victim,victim,outrage,other,ukr civilians,,Yelena,,2022-06-17 11:02:17+00:00,728,2485,1116312.32557465,DefenceU,0,['photo'],0,0,['medium'],0,0,0,['character'],0,0,0,0,0,['posture'],1,0,0,0,['no'],1,['neutral'],1,0,0,['victim'],0,0,0,1,0,['outrage'],0,0,1,0,0,0,0,0,0,0,['other'],0,0,['ukr civilians'],0,0,1,0,0,0,0,False,1,0,1,0.6384384384384384,0,2022-06-17,114.0,20.090310587359287,20.090310587359287,Ukr civil.
DefenceU,1512009750023712769,https://twitter.com/DefenceU/status/1512009750023712769,#воїн_це_я 🇺🇦,single,photo,medium,character,posture,no,neutral,hero,hero,pride,other,ukr military,,Yelena,,2022-04-07 10:09:50+00:00,395,5255,912255.1119170978,DefenceU,0,['photo'],0,0,['medium'],0,0,0,['character'],0,0,0,0,0,['posture'],1,0,0,0,['no'],1,['neutral'],1,0,0,['hero'],1,0,0,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['other'],0,0,['ukr military'],1,0,0,0,0,0,0,False,1,0,1,0.6384384384384384,0,2022-04-07,43.0,19.799079386021244,19.799079386021244,Ukr milit.
DefenceU,1536033614944665600,https://twitter.com/DefenceU/status/1536033614944665600,"📢 @ZelenskyyUa 
 It is on the battlefield in Ukraine that it is being decided what rules the world will live. Together we must save the world from going back to the days when everything was decided on the basis of the so-called right of force.",single,photo,medium,character,posture,no,neutral,hero,hero,pride,other,ukr military,,Arthur,,2022-06-12 17:12:06+00:00,1565,8533,1112156.0,DefenceU,0,['photo'],0,0,['medium'],0,0,0,['character'],0,0,0,0,0,['posture'],1,0,0,0,['no'],1,['neutral'],1,0,0,['hero'],1,0,0,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['other'],0,0,['ukr military'],1,0,0,0,0,0,0,False,1,0,1,0.6384384384384384,0,2022-06-12,109.0,20.084929032865155,20.084929032865155,Ukr milit.
uamemesforces,1543248773501140992,https://twitter.com/uamemesforces/status/1543248773501140992,https://t.co/8MFckWvfza,multiple,photo,medium,character,"facial expression, posture",yes,negative,fool,fool,humor,other,rus military,,Arthur,,2022-07-02 15:02:34+00:00,1534,12765,230824.88347962423,uamemesforces,1,['photo'],0,0,['medium'],0,0,0,['character'],0,0,0,0,0,"['facial expression', 'posture']",1,0,0,0,['yes'],0,['negative'],0,0,1,['fool'],0,1,0,0,0,['humor'],0,1,0,0,0,0,0,0,0,0,['other'],0,0,['rus military'],0,1,0,0,0,0,0,False,0,1,0,0.775346462436178,0,2022-07-02,129.0,17.816445482969428,17.816445482969428,Rus milit.
